locatiecode,locatie omschrijving,locatie x,locatie y,locatie z,compartiment,datum,fewsparameter,fewsparametercode,fewsparameternaam,fewsparametergrootheid,fewsparametereenheidequivalent,fewsparametereenheidreferentie,fewsparameterparameterfractie,limietsymbool,meetwaarde,eenheid,waardebewerkingsmethode,afronding,opmerkingmeting
ZBG001,Voor krooshek gemaal Zuider Ijdijk,125999,486852,,OW,3-2-2011 10:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,12000.0,n/dl,MET,Ja,
IJM001,Voor krooshek gemaal Zeeburg langs Zuider Ijdijk,125770,486732,,OW,3-2-2011 10:45,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,680.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,3-2-2011 11:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
IJB003,Tussen haveneiland en vooreiland in,128380,484962,,OW,3-2-2011 11:12,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
IJM007,Op steiger bij sluis aan het eind Emmy Andriessestraat (repr voor inlaat Ijmeerwater),129566,484384,,OW,3-2-2011 11:24,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
IJB002,Bij peilschaal Schokkerjachtdijk (repr voor binnenwater Steigeleiland),127569,486037,,OW,3-2-2011 11:37,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,6100.0,n/dl,MET,Ja,
WTV002,Duivensrechtsebrug over Weespertrekvaart langs Molenkade,124856,483339,,OW,1-3-2011 10:52,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,24000.0,n/dl,MET,Ja,
ADM010,Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem),120755,486720,,OW,2-3-2011 07:28,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,4300.0,n/dl,MET,Ja,
SPP001,sarphatiepark,121514,485231,,OW,2-3-2011 09:50,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,180.0,n/dl,MET,Ja,
SPP004,"Sarphatipark, uitmonding helofytenfilter",121664,485362,,OW,2-3-2011 10:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,830.0,n/dl,MET,Ja,
KVV001,Baarsjesweg in de Kostverlorenvaart / Admiralengracht,118995,486352,,OW,2-3-2011 11:36,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,540.0,n/dl,MET,Ja,
HLV004,Brug in Australiehavenweg over de Haarlemmervaart,115234,488677,,OW,2-3-2011 12:15,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
AMS010,amstel t.o. nr. 319/ten Z A10,121688,482650,,OW,4-3-2011 08:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1300.0,n/dl,MET,Ja,
GAA001,In de Gaasp t.h.v. Stammerdijk 38,128411,481077,,OW,7-3-2011 11:19,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,460.0,n/dl,MET,Ja,
IJM001,Voor krooshek gemaal Zeeburg langs Zuider Ijdijk,125770,486732,,OW,7-3-2011 12:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,130.0,n/dl,MET,Ja,
ZBG001,Voor krooshek gemaal Zuider Ijdijk,125999,486852,,OW,7-3-2011 12:13,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,290.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,7-3-2011 12:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
IJM007,Op steiger bij sluis aan het eind Emmy Andriessestraat (repr voor inlaat Ijmeerwater),129566,484384,,OW,7-3-2011 12:51,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
IJB003,Tussen haveneiland en vooreiland in,128380,484962,,OW,7-3-2011 13:04,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
IJB002,Bij peilschaal Schokkerjachtdijk (repr voor binnenwater Steigeleiland),127569,486037,,OW,7-3-2011 13:19,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
ADM010,Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem),120755,486720,,OW,6-4-2011 08:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,460.0,n/dl,MET,Ja,
SPP001,sarphatiepark,121514,485231,,OW,6-4-2011 09:04,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,560.0,n/dl,MET,Ja,
SPP004,"Sarphatipark, uitmonding helofytenfilter",121664,485362,,OW,6-4-2011 09:11,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,330.0,n/dl,MET,Ja,
WTV002,Duivensrechtsebrug over Weespertrekvaart langs Molenkade,124856,483339,,OW,6-4-2011 10:23,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
HLV004,Brug in Australiehavenweg over de Haarlemmervaart,115234,488677,,OW,6-4-2011 10:28,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
KVV001,Baarsjesweg in de Kostverlorenvaart / Admiralengracht,118995,486352,,OW,6-4-2011 10:36,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,360.0,n/dl,MET,Ja,
AMS010,amstel t.o. nr. 319/ten Z A10,121688,482650,,OW,7-4-2011 08:15,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,2200.0,n/dl,MET,Ja,
GAA001,In de Gaasp t.h.v. Stammerdijk 38,128411,481077,,OW,8-4-2011 08:37,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,140.0,n/dl,MET,Ja,
IJM001,Voor krooshek gemaal Zeeburg langs Zuider Ijdijk,125770,486732,,OW,8-4-2011 09:26,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,310.0,n/dl,MET,Ja,
ZBG001,Voor krooshek gemaal Zuider Ijdijk,125999,486852,,OW,8-4-2011 09:34,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,2300.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,8-4-2011 09:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,230.0,n/dl,MET,Ja,
IJB003,Tussen haveneiland en vooreiland in,128380,484962,,OW,8-4-2011 10:03,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
IJM007,Op steiger bij sluis aan het eind Emmy Andriessestraat (repr voor inlaat Ijmeerwater),129566,484384,,OW,8-4-2011 10:17,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
IJB002,Bij peilschaal Schokkerjachtdijk (repr voor binnenwater Steigeleiland),127569,486037,,OW,8-4-2011 10:32,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,26-4-2011 09:45,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,26-4-2011 09:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,26-4-2011 14:13,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,26-4-2011 14:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,210.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,27-4-2011 11:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,27-4-2011 11:39,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
HLV004,Brug in Australiehavenweg over de Haarlemmervaart,115234,488677,,OW,3-5-2011 10:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,60.0,n/dl,MET,Ja,
WTV002,Duivensrechtsebrug over Weespertrekvaart langs Molenkade,124856,483339,,OW,5-5-2011 10:45,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,130.0,n/dl,MET,Ja,
ADM010,Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem),120755,486720,,OW,6-5-2011 08:26,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,470.0,n/dl,MET,Ja,
SPP001,sarphatiepark,121514,485231,,OW,6-5-2011 09:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,2600.0,n/dl,MET,Ja,
GAA001,In de Gaasp t.h.v. Stammerdijk 38,128411,481077,,OW,6-5-2011 09:03,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
SPP004,"Sarphatipark, uitmonding helofytenfilter",121664,485362,,OW,6-5-2011 09:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1600.0,n/dl,MET,Ja,
IJM001,Voor krooshek gemaal Zeeburg langs Zuider Ijdijk,125770,486732,,OW,6-5-2011 09:50,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
ZBG001,Voor krooshek gemaal Zuider Ijdijk,125999,486852,,OW,6-5-2011 10:02,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
KVV001,Baarsjesweg in de Kostverlorenvaart / Admiralengracht,118995,486352,,OW,6-5-2011 10:11,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
IJB003,Tussen haveneiland en vooreiland in,128380,484962,,OW,6-5-2011 10:21,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,6-5-2011 10:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
IJM007,Op steiger bij sluis aan het eind Emmy Andriessestraat (repr voor inlaat Ijmeerwater),129566,484384,,OW,6-5-2011 10:43,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
IJB002,Bij peilschaal Schokkerjachtdijk (repr voor binnenwater Steigeleiland),127569,486037,,OW,6-5-2011 10:59,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,9-5-2011 09:17,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,670.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,9-5-2011 09:32,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,60.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,9-5-2011 10:03,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,370.0,n/dl,MET,Ja,
GGP024,"pomp inlaat speelvijver, zwemwater",127882,480274,,OW,9-5-2011 10:08,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,200.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,9-5-2011 10:25,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,60.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,10-5-2011 11:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,140.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,10-5-2011 11:37,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1500.0,n/dl,MET,Ja,
AMS010,amstel t.o. nr. 319/ten Z A10,121688,482650,,OW,11-5-2011 12:17,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,23-5-2011 09:50,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,23-5-2011 10:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
GGP024,"pomp inlaat speelvijver, zwemwater",127882,480274,,OW,23-5-2011 11:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,23-5-2011 11:10,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,380.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,23-5-2011 11:24,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1300.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,24-5-2011 11:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,24-5-2011 11:39,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
GAA001,In de Gaasp t.h.v. Stammerdijk 38,128411,481077,,OW,1-6-2011 08:15,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,160.0,n/dl,MET,Ja,
IJM001,Voor krooshek gemaal Zeeburg langs Zuider Ijdijk,125770,486732,,OW,1-6-2011 08:57,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
ZBG001,Voor krooshek gemaal Zuider Ijdijk,125999,486852,,OW,1-6-2011 09:04,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,250.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,1-6-2011 09:17,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
IJB003,Tussen haveneiland en vooreiland in,128380,484962,,OW,1-6-2011 09:28,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
IJM007,Op steiger bij sluis aan het eind Emmy Andriessestraat (repr voor inlaat Ijmeerwater),129566,484384,,OW,1-6-2011 09:42,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
IJB002,Bij peilschaal Schokkerjachtdijk (repr voor binnenwater Steigeleiland),127569,486037,,OW,1-6-2011 09:58,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,60.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,6-6-2011 10:40,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,6-6-2011 10:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,820.0,n/dl,MET,Ja,
GGP024,"pomp inlaat speelvijver, zwemwater",127882,480274,,OW,6-6-2011 11:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1900.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,6-6-2011 11:24,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,430.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,6-6-2011 11:32,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1400.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,7-6-2011 08:13,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,7-6-2011 08:18,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
ADM010,Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem),120755,486720,,OW,8-6-2011 07:13,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1200.0,n/dl,MET,Ja,
KVV001,Baarsjesweg in de Kostverlorenvaart / Admiralengracht,118995,486352,,OW,8-6-2011 11:45,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,410.0,n/dl,MET,Ja,
SPP001,sarphatiepark,121514,485231,,OW,8-6-2011 12:02,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,4400.0,n/dl,MET,Ja,
SPP004,"Sarphatipark, uitmonding helofytenfilter",121664,485362,,OW,8-6-2011 12:09,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1700.0,n/dl,MET,Ja,
WTV002,Duivensrechtsebrug over Weespertrekvaart langs Molenkade,124856,483339,,OW,9-6-2011 08:27,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,230.0,n/dl,MET,Ja,
AMS010,amstel t.o. nr. 319/ten Z A10,121688,482650,,OW,9-6-2011 08:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,250.0,n/dl,MET,Ja,
HLV004,Brug in Australiehavenweg over de Haarlemmervaart,115234,488677,,OW,15-6-2011 10:24,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,20-6-2011 07:02,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,200.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,20-6-2011 07:09,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
GGP024,"pomp inlaat speelvijver, zwemwater",127882,480274,,OW,20-6-2011 07:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,230.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,20-6-2011 07:34,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,310.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,20-6-2011 07:47,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,21-6-2011 07:46,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,21-6-2011 07:51,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,4-7-2011 10:40,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,4-7-2011 10:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,160.0,n/dl,MET,Ja,
GGP024,"pomp inlaat speelvijver, zwemwater",127882,480274,,OW,4-7-2011 10:57,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,670.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,4-7-2011 14:18,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,740.0,n/dl,MET,Ja,
SBI030,Varkensbaai,116535,487225,,OW,4-7-2011 14:27,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,5-7-2011 07:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,5-7-2011 07:15,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,20.0,n/dl,MET,Ja,
HLV004,Brug in Australiehavenweg over de Haarlemmervaart,115234,488677,,OW,5-7-2011 08:28,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,<,15.0,n/dl,MET,Ja,
ADM010,Kruizing Keizersgracht / Molenpad thv peperbus (repr voor stadsboezem),120755,486720,,OW,6-7-2011 08:21,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,770.0,n/dl,MET,Ja,
SPP001,sarphatiepark,121514,485231,,OW,6-7-2011 09:03,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,3300.0,n/dl,MET,Ja,
SPP004,"Sarphatipark, uitmonding helofytenfilter",121664,485362,,OW,6-7-2011 09:10,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,780.0,n/dl,MET,Ja,
KVV001,Baarsjesweg in de Kostverlorenvaart / Admiralengracht,118995,486352,,OW,6-7-2011 10:53,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
WTV002,Duivensrechtsebrug over Weespertrekvaart langs Molenkade,124856,483339,,OW,7-7-2011 09:29,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
AMS010,amstel t.o. nr. 319/ten Z A10,121688,482650,,OW,8-7-2011 09:04,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
IJB001,Voor krooshek gemaal Haveneiland (IJburg) Zwanenbloemkade,128566,484893,,OW,13-7-2011 10:31,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,130.0,n/dl,MET,Ja,
